Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
organization,"('organization', 'organisation')",Polysemy,the activity or result of distributing or disposing persons or things properly or methodically,organization.n.06
street,"('street',)",Not a Polysemy,a situation offering opportunities,street.n.04
storming,"('storm',)",Not a Polysemy,blow hard,storm.v.04
tail,"('stern', 'after_part', 'quarter', 'poop', 'tail')",Polysemy,the rear part of a ship,stern.n.01
chopper,"('chopper', 'pearly')",Polysemy,informal terms for a human `tooth',chopper.n.02
shooting,"('film', 'shoot', 'take')",Polysemy,make a film or photograph of something,film.v.01
zone,"('zone',)",Not a Polysemy,an area or region distinguished from adjacent parts by a distinctive feature or characteristic,zone.n.03
substantial,"('significant', 'substantial')",Polysemy,fairly large,significant.s.02
office,"('office', 'power')",Polysemy,(of a government or government official) holding an office means being in power,office.n.04
bell,"('doorbell', 'bell', 'buzzer')",Polysemy,a push button at an outer door that gives a ringing or buzzing signal when pushed,doorbell.n.01
vision,"('vision',)",Not a Polysemy,a vivid mental image,vision.n.01
proceed,"('proceed', 'go_forward', 'continue')",Polysemy,move ahead; travel onward in time or space,proceed.v.02
clean,"('clean',)",Not a Polysemy,free from dirt or impurities; or having clean habits,clean.a.01
reflection,"('reflection', 'reflexion', 'reflectivity')",Polysemy,the ability to reflect beams or rays,reflection.n.08
amount,"('sum', 'sum_of_money', 'amount', 'amount_of_money')",Polysemy,a quantity of money,sum.n.01
progressive,"('progressive',)",Not a Polysemy,(of a card game or a dance) involving a series of sections for which the participants successively change place or relative position,progressive.s.05
strike,"('strike',)",Not a Polysemy,indicate (a certain time) by striking,strike.v.05
driving,"('drive', 'take')",Polysemy,proceed along in a vehicle,drive.v.16
initiate,"('novice', 'beginner', 'tyro', 'tiro', 'initiate')",Polysemy,someone new to a field or activity,novice.n.02
episode,"('episode',)",Not a Polysemy,a brief section of a literary or dramatic work that forms part of a connected series,episode.n.02
acting,"('act',)",Not a Polysemy,be suitable for theatrical performance,act.v.06
carry,"('carry',)",Not a Polysemy,be equipped with (a mast or sail),carry.v.22
ross,"('Ross', 'Sir_Ronald_Ross')",Polysemy,British physician who discovered that mosquitos transmit malaria (1857-1932),ross.n.03
wire,"('cable', 'telegraph', 'wire')",Polysemy,"send cables, wires, or telegrams",cable.v.01
men,"('Man', 'Isle_of_Man')",Polysemy,one of the British Isles in the Irish Sea,man.n.09
blamed,"('blame', 'charge')",Polysemy,attribute responsibility to,blame.v.03
touched,"('tint', 'tinct', 'tinge', 'touch')",Polysemy,color lightly,tint.v.01
accordingly,"('accordingly',)",Not a Polysemy,in accordance with,accordingly.r.02
cost,"('cost', 'be')",Polysemy,be priced at,cost.v.01
aleppo,"('Halab', 'Aleppo', 'Alep')",Polysemy,a city in northwestern Syria,halab.n.01
spin,"('tailspin', 'spin')",Polysemy,rapid descent of an aircraft in a steep spiral,tailspin.n.02
square,"('square',)",Not a Polysemy,leaving no balance,square.s.04
hammer,"('hammer',)",Not a Polysemy,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,hammer.n.02
practice,"('drill', 'exercise', 'practice', 'practise')",Polysemy,learn by repetition,drill.v.03
county,"('county',)",Not a Polysemy,(United States) the largest administrative district within a state,county.n.02
boring,"('boring', 'deadening', 'dull', 'ho-hum', 'irksome', 'slow', 'tedious', 'tiresome', 'wearisome')",Polysemy,so lacking in interest as to cause mental weariness; ; ; ; ; ; - Edmund Burke; ; - Mark Twain,boring.s.01
accurately,"('accurately',)",Not a Polysemy,with few mistakes,accurately.r.01
guide,"('guide',)",Not a Polysemy,someone who shows the way by leading or advising,guide.n.02
intercept,"('intercept',)",Not a Polysemy,the point at which a line intersects a coordinate axis,intercept.n.01
hard,"('hard',)",Not a Polysemy,dried out,hard.s.12
real,"('real',)",Not a Polysemy,the basic unit of money in Brazil; equal to 100 centavos,real.n.02
board,"('circuit_board', 'circuit_card', 'board', 'card', 'plug-in', 'add-in')",Polysemy,a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities,circuit_board.n.01
invasion,"('invasion', 'encroachment', 'intrusion')",Polysemy,any entry into an area not previously occupied,invasion.n.02
critical,"('critical',)",Not a Polysemy,being in or verging on a state of crisis or emergency,critical.a.06
spawn,"('engender', 'breed', 'spawn')",Polysemy,call forth,engender.v.01
communicate,"('convey', 'transmit', 'communicate')",Polysemy,transfer to another,convey.v.03
hitting,"('stumble', 'hit')",Polysemy,encounter by chance,stumble.v.03
games,"('game',)",Not a Polysemy,(games) the score at a particular point or the score needed to win,game.n.06
moscow,"('Moscow', 'capital_of_the_Russian_Federation', 'Russian_capital')",Polysemy,a city of central European Russia; formerly capital of both the Soviet Union and Soviet Russia; since 1991 the capital of the Russian Federation,moscow.n.01
n,"('nitrogen', 'N', 'atomic_number_7')",Polysemy,a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues,nitrogen.n.01
including,"('include',)",Not a Polysemy,"add as part of something else; put in as part of a set, group, or category",include.v.03
change,"('change',)",Not a Polysemy,the result of alteration or modification,change.n.04
trouble,"('trouble', 'ail', 'pain')",Polysemy,cause bodily suffering to and make sick or indisposed,trouble.v.05
returned,"('render', 'yield', 'return', 'give', 'generate')",Polysemy,give or supply,render.v.04
command,"('command',)",Not a Polysemy,a position of highest authority,command.n.05
checking,"('check',)",Not a Polysemy,decline to initiate betting,check.v.17
open,"('open',)",Not a Polysemy,accessible to all,open.s.07
comparing,"('compare',)",Not a Polysemy,to form the comparative or superlative form on an adjective or adverb,compare.v.04
made,"('make', 'create')",Polysemy,make or cause to be or to become,make.v.03
damage,"('damage',)",Not a Polysemy,suffer or be susceptible to damage,damage.v.02
held,"('hold',)",Not a Polysemy,keep from exhaling or expelling,hold.v.36
sanctions,"('approve', 'O.K.', 'okay', 'sanction')",Polysemy,give sanction to,approve.v.01
want,"('want', 'need', 'require')",Polysemy,have need of,want.v.02
shine,"('shine', 'beam')",Polysemy,"emit light; be bright, as of the sun or a light",shine.v.02
broken,"('broken',)",Not a Polysemy,"not continuous in space, time, or sequence or varying abruptly",broken.a.02
register,"('register',)",Not a Polysemy,record in writing; enter into a book of names or events or transactions,register.v.01
condemns,"('sentence', 'condemn', 'doom')",Polysemy,pronounce a sentence on (somebody) in a court of law,sentence.v.01
throw,"('throw',)",Not a Polysemy,propel through the air,throw.v.01
worse,"('bad', 'defective')",Polysemy,not working properly,bad.s.14
access,"('access', 'approach')",Polysemy,a way of entering or leaving,access.n.03
fabrication,"('fabrication', 'assembly')",Polysemy,the act of constructing something (as a piece of machinery),fabrication.n.04
worsen,"('worsen', 'aggravate', 'exacerbate', 'exasperate')",Polysemy,make worse,worsen.v.02
pa,"('protactinium', 'protoactinium', 'Pa', 'atomic_number_91')",Polysemy,a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead,protactinium.n.01
geting,"('get',)",Not a Polysemy,acquire as a result of some effort or action,get.v.21
stay,"('stay',)",Not a Polysemy,(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar,stay.n.05
deal,"('deal',)",Not a Polysemy,behave in a certain way towards others,deal.v.08
kick,"('kick_back', 'recoil', 'kick')",Polysemy,"spring back, as from a forceful thrust",kick_back.v.02
fossil,"('fossil',)",Not a Polysemy,the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil,fossil.n.02
limitation,"('limitation',)",Not a Polysemy,(law) a time period after which suits cannot be brought,limitation.n.04
kept,"('keep', 'hold_on')",Polysemy,retain possession of,keep.v.03
paul,"('Paul', 'Saint_Paul', 'St._Paul', 'Apostle_Paul', 'Paul_the_Apostle', 'Apostle_of_the_Gentiles', 'Saul', 'Saul_of_Tarsus')",Polysemy,(New Testament) a Christian missionary to the Gentiles; author of several Epistles in the New Testament; even though Paul was not present at the Last Supper he is considered an Apostle,paul.n.02
rocket,"('rocket', 'skyrocket')",Polysemy,"shoot up abruptly, like a rocket",rocket.v.01
simulated,"('model', 'simulate')",Polysemy,create a representation or model of,model.v.05
suffer,"('hurt', 'ache', 'suffer')",Polysemy,feel physical pain,hurt.v.06
landed,"('land',)",Not a Polysemy,deliver (a blow),land.v.05
mark,"('check', 'check_off', 'mark', 'mark_off', 'tick_off', 'tick')",Polysemy,put a check mark on or near or next to,check.v.06
gone,"('go', 'lead')",Polysemy,"lead, extend, or afford access",go.v.25
seen,"('interpret', 'construe', 'see')",Polysemy,make sense of; assign a meaning to,interpret.v.01
times,"('time',)",Not a Polysemy,assign a time for an activity or event,time.v.02
wild,"('hazardous', 'risky', 'wild')",Polysemy,involving risk or danger,hazardous.s.01
condemning,"('condemn', 'reprobate', 'decry', 'objurgate', 'excoriate')",Polysemy,express strong disapproval of,condemn.v.01
throwing,"('throw',)",Not a Polysemy,"move violently, energetically, or carelessly",throw.v.02
everyday,"('everyday',)",Not a Polysemy,commonplace and ordinary,everyday.s.03
stands,"('point_of_view', 'viewpoint', 'stand', 'standpoint')",Polysemy,a mental position from which things are viewed,point_of_view.n.01
door,"('door',)",Not a Polysemy,a room that is entered via a door,door.n.05
defiance,"('defiance',)",Not a Polysemy,a hostile challenge,defiance.n.02
begin,"('begin', 'start')",Polysemy,begin an event that is implied and limited by the nature or inherent function of the direct object,begin.v.08
lot,"('lot',)",Not a Polysemy,"divide into lots, as of land, for example",lot.v.01
absence,"('absence',)",Not a Polysemy,the time interval during which something or somebody is away,absence.n.03
stealing,"('steal', 'slip')",Polysemy,move stealthily,steal.v.02
farm,"('farm',)",Not a Polysemy,workplace consisting of farm buildings and cultivated land as a unit,farm.n.01
smoke,"('fume', 'smoke')",Polysemy,emit a cloud of fine particles,fume.v.02
physical,"('physical',)",Not a Polysemy,characterized by energetic bodily activity,physical.s.05
mans,"('man',)",Not a Polysemy,take charge of a certain job; occupy a certain work place,man.v.01
embargo,"('embargo',)",Not a Polysemy,"ban the publication of (documents), as for security or copyright reasons",embargo.v.01
shelved,"('postpone', 'prorogue', 'hold_over', 'put_over', 'table', 'shelve', 'set_back', 'defer', 'remit', 'put_off')",Polysemy,hold back to a later time,postpone.v.01
compare,"('compare', 'liken', 'equate')",Polysemy,"consider or describe as similar, equal, or analogous",compare.v.03
tower,"('loom', 'tower', 'predominate', 'hulk')",Polysemy,appear very large or occupy a commanding position,loom.v.02
past,"('past', 'past_tense')",Polysemy,a verb tense that expresses actions or states in the past,past.n.03
drive,"('drive',)",Not a Polysemy,"push, propel, or press with force",drive.v.08
tide,"('tide', 'lunar_time_period')",Polysemy,there are usually two high and two low tides each day,tide.n.03
involved,"('involve',)",Not a Polysemy,make complex or intricate or complicated,involve.v.07
great,"('great',)",Not a Polysemy,a person who has achieved distinction and honor in some field,great.n.01
snake,"('snake',)",Not a Polysemy,"move smoothly and sinuously, like a snake",snake.v.01
leo,"('Leo', 'Lion')",Polysemy,(astrology) a person who is born while the sun is in Leo,leo.n.01
erratic,"('erratic', 'fickle', 'mercurial', 'quicksilver')",Polysemy,liable to sudden unpredictable change,erratic.s.01
belt,"('belt',)",Not a Polysemy,a band to tie or buckle around the body (usually at the waist),belt.n.02
fell,"('fly', 'fell', 'vanish')",Polysemy,pass away rapidly,fly.v.08
blown,"('blow',)",Not a Polysemy,cause to be revealed and jeopardized,blow.v.18
carried,"('impart', 'conduct', 'transmit', 'convey', 'carry', 'channel')",Polysemy,transmit or serve as the medium for transmission,impart.v.03
snapping,"('snap',)",Not a Polysemy,put in play with a snap,snap.v.09
better,"('better',)",Not a Polysemy,(comparative of `good') changed for the better in health or fitness,better.a.02
dealing,"('conduct', 'carry_on', 'deal')",Polysemy,direct the course of; manage or control,conduct.v.01
pad,"('pad', 'fill_out')",Polysemy,line or stuff with soft material,pad.v.03
draft,"('enlist', 'draft', 'muster_in')",Polysemy,engage somebody to enter the army,enlist.v.03
snake,"('snake',)",Not a Polysemy,form a snake-like pattern,snake.v.02
brings,"('bring',)",Not a Polysemy,be accompanied by,bring.v.06
sheltering,"('shelter',)",Not a Polysemy,invest (money) so that it is not taxable,shelter.v.02
bush,"('scrub', 'chaparral', 'bush')",Polysemy,dense vegetation consisting of stunted trees or bushes,scrub.n.01
explanation,"('explanation', 'account')",Polysemy,a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,explanation.n.01
